NewQuestion,MC,
QuestionText,"Which attribute specifies the language of an HTML document?",
Option,100,"lang",
Option,0,"xml",
Option,0,"charset",
Option,0,"locale",

NewQuestion,MC,
QuestionText,"What is the correct way to insert a comment in HTML?",
Option,100,"<!-- This is a comment -->",
Option,0,"// This is a comment",
Option,0,"# This is a comment",
Option,0,"/* This is a comment */",

NewQuestion,MC,
QuestionText,"Which element defines emphasized text in HTML?",
Option,0,"<strong>",
Option,100,"<em>",
Option,0,"<i>",
Option,0,"<mark>",

NewQuestion,MC,
QuestionText,"Which tag creates an unordered list?",
Option,0,"<ol>",
Option,100,"<ul>",
Option,0,"<li>",
Option,0,"<list>",

NewQuestion,MC,
QuestionText,"Which element defines a block of pre-formatted text?",
Option,100,"<pre>",
Option,0,"<code>",
Option,0,"<p>",
Option,0,"<blockquote>",

NewQuestion,MC,
QuestionText,"What does the "href" attribute do in an <a> tag?",
Option,0,"Adds hover color",
Option,100,"Specifies the hyperlink destination",
Option,0,"Defines text alignment",
Option,0,"Opens an image",

NewQuestion,MC,
QuestionText,"Which attribute opens a hyperlink in a new browser tab?",
Option,100,"target="_blank"",
Option,0,"rel="new"",
Option,0,"open="tab"",
Option,0,"new="true"",

NewQuestion,MC,
QuestionText,"In HTML, which element groups related form inputs?",
Option,100,"<fieldset>",
Option,0,"<formgroup>",
Option,0,"<section>",
Option,0,"<group>",

NewQuestion,MC,
QuestionText,"What is the function of the <label> element?",
Option,0,"Displays placeholder text",
Option,100,"Describes the purpose of a form input",
Option,0,"Submits form data",
Option,0,"Adds spacing between inputs",

NewQuestion,MC,
QuestionText,"Which of the following creates a numbered list?",
Option,100,"<ol>",
Option,0,"<ul>",
Option,0,"<list>",
Option,0,"<num>",

NewQuestion,MC,
QuestionText,"In CSS, which property controls text size?",
Option,100,"font-size",
Option,0,"text-size",
Option,0,"font-height",
Option,0,"text-weight",

NewQuestion,MC,
QuestionText,"Which property changes the color of text?",
Option,100,"color",
Option,0,"font-color",
Option,0,"text-color",
Option,0,"font-tint",

NewQuestion,MC,
QuestionText,"What does the "id" attribute uniquely identify?",
Option,100,"A single element on a page",
Option,0,"Multiple related elements",
Option,0,"All elements with same class",
Option,0,"External files",

NewQuestion,MC,
QuestionText,"Which CSS property changes the text alignment within an element?",
Option,100,"text-align",
Option,0,"align",
Option,0,"justify-items",
Option,0,"flex-align",

NewQuestion,MC,
QuestionText,"How do you insert a comment in CSS?",
Option,100,"/* comment */",
Option,0,"<!-- comment -->",
Option,0,"// comment",
Option,0,"# comment",

NewQuestion,MC,
QuestionText,"Which tag defines inline code snippets in HTML?",
Option,100,"<code>",
Option,0,"<pre>",
Option,0,"<kbd>",
Option,0,"<var>",

NewQuestion,MC,
QuestionText,"What is the correct syntax for linking an external CSS file?",
Option,100,"<link rel="stylesheet" href="style.css">",
Option,0,"<style src="style.css">",
Option,0,"<css link="style.css">",
Option,0,"<script href="style.css">",

NewQuestion,MC,
QuestionText,"Which HTML element is used for short quotations?",
Option,100,"<q>",
Option,0,"<blockquote>",
Option,0,"<cite>",
Option,0,"<quote>",

NewQuestion,MC,
QuestionText,"Which tag defines a section of navigation links within a page?",
Option,100,"<nav>",
Option,0,"<header>",
Option,0,"<section>",
Option,0,"<aside>",

NewQuestion,MC,
QuestionText,"What does the <meta charset="UTF-8"> declaration specify?",
Option,100,"The character encoding for the document",
Option,0,"The author of the document",
Option,0,"The viewport width",
Option,0,"The page language",

NewQuestion,MC,
QuestionText,"Which attribute is used in forms to ensure a field must be filled?",
Option,100,"required",
Option,0,"must",
Option,0,"validate",
Option,0,"checked",

NewQuestion,MC,
QuestionText,"Which of the following makes a text input field read-only?",
Option,100,"readonly",
Option,0,"lock",
Option,0,"noedit",
Option,0,"disabled="false"",

NewQuestion,MC,
QuestionText,"In CSS, what does the property "border-radius" control?",
Option,100,"The roundness of element corners",
Option,0,"The border color",
Option,0,"The border width",
Option,0,"The element's shadow",

NewQuestion,MC,
QuestionText,"What is the default display type for a <div> element?",
Option,100,"block",
Option,0,"inline",
Option,0,"flex",
Option,0,"grid",

NewQuestion,MC,
QuestionText,"Which tool or feature in an IDE like VS Code assists with W3C-compliant development?",
Option,100,"HTML/CSS linting or validation extensions",
Option,0,"Image optimizer",
Option,0,"Font previewer",
Option,0,"Markdown renderer",

