NewQuestion,MC,
QuestionText,"What does W3C compliance primarily ensure?",
Option,100,"Code follows web standards for accessibility and interoperability",
Option,0,"Website loads faster on Chrome",
Option,0,"All colors are WCAG-approved",
Option,0,"Site looks identical on all browsers",

NewQuestion,MC,
QuestionText,"Which tag correctly defines the main content of a webpage?",
Option,0,"<article>",
Option,0,"<div>",
Option,100,"<main>",
Option,0,"<section>",

NewQuestion,MC,
QuestionText,"Which element should contain metadata like page title and linked stylesheets?",
Option,100,"<head>",
Option,0,"<body>",
Option,0,"<header>",
Option,0,"<meta>",

NewQuestion,MC,
QuestionText,"Which attribute provides text for screen readers when an image cannot load?",
Option,100,"alt",
Option,0,"src",
Option,0,"title",
Option,0,"desc",

NewQuestion,MC,
QuestionText,"Which of the following is the correct HTML5 document type declaration?",
Option,100,"<!DOCTYPE html>",
Option,0,"<!DOCTYPE HTML5>",
Option,0,"<html version="5">",
Option,0,"<html5>",

NewQuestion,MC,
QuestionText,"In a W3C-compliant page, where should the <link rel="stylesheet"> tag appear?",
Option,100,"Inside the <head> element",
Option,0,"Inside the <body> element",
Option,0,"At the bottom of the page",
Option,0,"In the footer",

NewQuestion,MC,
QuestionText,"Which CSS rule correctly sets a background color?",
Option,0,"background-color; #fff;",
Option,100,"background-color: #fff;",
Option,0,"background:color(#fff);",
Option,0,"bg-color = #fff;",

NewQuestion,MC,
QuestionText,"Which property controls the space inside an element's border?",
Option,0,"margin",
Option,100,"padding",
Option,0,"border",
Option,0,"gap",

NewQuestion,MC,
QuestionText,"What does "semantic HTML" mean?",
Option,100,"Using HTML tags that describe content meaning and structure",
Option,0,"Adding IDs and classes to every element",
Option,0,"Using short variable-like names",
Option,0,"Using divs for everything",

NewQuestion,MC,
QuestionText,"Which element represents navigational links?",
Option,0,"<aside>",
Option,100,"<nav>",
Option,0,"<footer>",
Option,0,"<menu>",

NewQuestion,MC,
QuestionText,"What is the purpose of the W3C Markup Validation Service?",
Option,100,"To check HTML for syntax and standard errors",
Option,0,"To analyze page speed",
Option,0,"To test server load",
Option,0,"To generate SEO keywords",

NewQuestion,MC,
QuestionText,"Which CSS selector targets all <p> elements inside a <div>?",
Option,100,"div p { }",
Option,0,"div.p { }",
Option,0,"div#p { }",
Option,0,"div>* { }",

NewQuestion,MC,
QuestionText,"Which declaration makes text bold in CSS?",
Option,0,"font-type: bold;",
Option,100,"font-weight: bold;",
Option,0,"text-style: bold;",
Option,0,"font-bold: on;",

NewQuestion,MC,
QuestionText,"Which tag is used to create a hyperlink in HTML?",
Option,0,"<link>",
Option,100,"<a>",
Option,0,"<href>",
Option,0,"<url>",

NewQuestion,MC,
QuestionText,"Which CSS unit is relative to the root element's font size?",
Option,0,"em",
Option,100,"rem",
Option,0,"px",
Option,0,"%",

NewQuestion,MC,
QuestionText,"Which CSS layout module provides flexible alignment of elements?",
Option,100,"Flexbox",
Option,0,"Grid",
Option,0,"Float",
Option,0,"Block",

NewQuestion,MC,
QuestionText,"Which HTML tag defines a table header cell?",
Option,100,"<th>",
Option,0,"<td>",
Option,0,"<tr>",
Option,0,"<thead>",

NewQuestion,MC,
QuestionText,"What is the function of the <footer> element?",
Option,100,"Defines the bottom section of a page containing metadata or links",
Option,0,"Displays copyright text only",
Option,0,"Used to add images",
Option,0,"Contains JavaScript scripts",

NewQuestion,MC,
QuestionText,"Which property sets the font family in CSS?",
Option,0,"font-face",
Option,100,"font-family",
Option,0,"font-type",
Option,0,"text-font",

NewQuestion,MC,
QuestionText,"In CSS, which symbol indicates a class selector?",
Option,0,"#",
Option,100,".",
Option,0,"@",
Option,0,"$",

NewQuestion,MC,
QuestionText,"What is the correct HTML element for the largest heading?",
Option,100,"<h1>",
Option,0,"<h6>",
Option,0,"<title>",
Option,0,"<heading>",

NewQuestion,MC,
QuestionText,"Which CSS feature allows you to reuse values like colors and fonts?",
Option,100,"CSS variables (custom properties, e.g., --brand)",
Option,0,"Functions",
Option,0,"IDs",
Option,0,"Comments",

NewQuestion,MC,
QuestionText,"When writing W3C-compliant code, what should always be included for accessibility?",
Option,100,"Meaningful alt text and ARIA where appropriate",
Option,0,"Inline styles for every element",
Option,0,"Animations on every link",
Option,0,"HTML comments explaining each line",

NewQuestion,MC,
QuestionText,"Why should developers validate CSS?",
Option,0,"To increase server speed",
Option,100,"To ensure properties and values follow W3C standards",
Option,0,"To add more colors",
Option,0,"To remove semantic markup",

NewQuestion,MC,
QuestionText,"What is the purpose of indentation and consistent formatting in HTML/CSS?",
Option,100,"Improves readability and maintainability of code",
Option,0,"Speeds up download time",
Option,0,"Creates animations",
Option,0,"Changes browser rendering",

