NewQuestion,MC,
QuestionText,"Which WCAG principle ensures users can both see and hear website content?",
Option,0,"Understandable",
Option,0,"Operable",
Option,100,"Perceivable",
Option,0,"Robust",

NewQuestion,MC,
QuestionText,"Which tool can be used to automatically check a site for accessibility issues?",
Option,0,"Canva",
Option,100,"WAVE Accessibility Checker",
Option,0,"FileZilla",
Option,0,"Photoshop",

NewQuestion,MC,
QuestionText,"What does WCAG stand for?",
Option,0,"Website Coding and Graphics",
Option,100,"Web Content Accessibility Guidelines",
Option,0,"Web Compliance and Governance",
Option,0,"Web Creator Advisory Group",

NewQuestion,MC,
QuestionText,"What is the correct minimum contrast ratio for normal-sized text (AA standard)?",
Option,100,"4.5 : 1",
Option,0,"3 : 1",
Option,0,"2 : 1",
Option,0,"7 : 1",

NewQuestion,MC,
QuestionText,"Which attribute provides descriptive text for images read by screen readers?",
Option,0,"title",
Option,100,"alt",
Option,0,"src",
Option,0,"id",

NewQuestion,MC,
QuestionText,"Why is keyboard navigation important for accessibility?",
Option,100,"It allows users who cannot use a mouse to navigate and interact",
Option,0,"It changes text alignment",
Option,0,"It reduces page loading time",
Option,0,"It hides visual clutter",

NewQuestion,MC,
QuestionText,"What does the "O" in the POUR accessibility model stand for?",
Option,100,"Operable",
Option,0,"Organized",
Option,0,"Objective",
Option,0,"Optional",

NewQuestion,MC,
QuestionText,"What is a usability heuristic?",
Option,0,"A browser debugging feature",
Option,100,"A general principle for evaluating user interface quality",
Option,0,"A color-contrast setting",
Option,0,"A coding standard",

NewQuestion,MC,
QuestionText,"Which of the following is an example of poor usability?",
Option,0,"Consistent navigation menus",
Option,100,"Unlabeled icons and hidden controls",
Option,0,"Readable text contrast",
Option,0,"Logical heading hierarchy",

NewQuestion,MC,
QuestionText,"Which color combination provides the strongest readability?",
Option,0,"Yellow on blue",
Option,0,"Red on green",
Option,100,"Black text on white background",
Option,0,"Light gray text on white",

NewQuestion,MC,
QuestionText,"What is the main goal of usability testing?",
Option,100,"Observe users completing real tasks to find obstacles",
Option,0,"Validate HTML syntax",
Option,0,"Reduce image sizes",
Option,0,"Check file naming conventions",

NewQuestion,MC,
QuestionText,"Which principle ensures users can understand how an interface works?",
Option,0,"Perceivable",
Option,0,"Operable",
Option,100,"Understandable",
Option,0,"Robust",

NewQuestion,MC,
QuestionText,"What is a good example of descriptive link text?",
Option,0,"Click here",
Option,100,"Download Program Guide (PDF)",
Option,0,"More info",
Option,0,"Read this",

NewQuestion,MC,
QuestionText,"Which accessibility issue is caused by flashing or strobing content?",
Option,0,"Color contrast failure",
Option,100,"Seizure or vestibular trigger",
Option,0,"Missing alt text",
Option,0,"Unclear labels",

NewQuestion,MC,
QuestionText,"What is the role of headings (`<h1>` – `<h6>`) in accessibility?",
Option,100,"Provide document structure and hierarchy",
Option,0,"Apply font color changes",
Option,0,"Speed up page loading",
Option,0,"Add animation effects",

NewQuestion,MC,
QuestionText,"What does the "R" in POUR accessibility principles stand for?",
Option,0,"Readable",
Option,0,"Responsive",
Option,100,"Robust",
Option,0,"Relevant",

NewQuestion,MC,
QuestionText,"Which practice improves accessibility for color-blind users?",
Option,100,"Avoid using color alone to convey meaning",
Option,0,"Use saturated colors only",
Option,0,"Add gradients to text",
Option,0,"Reduce contrast ratios",

NewQuestion,MC,
QuestionText,"What does alt text do when an image fails to load?",
Option,0,"Replaces the image with a blank space",
Option,0,"Shows the file path",
Option,100,"Displays the text alternative to describe the image",
Option,0,"Plays a sound",

NewQuestion,MC,
QuestionText,"Which of the following describes responsive design's accessibility benefit?",
Option,100,"Content remains usable on all screen sizes and devices",
Option,0,"It adds animations to pages",
Option,0,"It hides footer information",
Option,0,"It increases bandwidth",

NewQuestion,MC,
QuestionText,"Why is consistent layout important for usability?",
Option,100,"Users know where to find information and controls on every page",
Option,0,"It makes pages more colorful",
Option,0,"It increases download speed",
Option,0,"It randomizes visual elements",

NewQuestion,MC,
QuestionText,"Which of the following tools can test both performance and accessibility in Chrome?",
Option,0,"Dreamweaver",
Option,100,"Lighthouse",
Option,0,"GitHub Pages",
Option,0,"InVision",

NewQuestion,MC,
QuestionText,"What is the primary goal of web accessibility?",
Option,100,"Ensure equal access and usability for all users regardless of ability",
Option,0,"Reduce graphic file sizes",
Option,0,"Enhance visual effects",
Option,0,"Improve search rankings",

NewQuestion,MC,
QuestionText,"What is one reason alt text is important for SEO?",
Option,100,"Search engines use it to understand image content",
Option,0,"It reduces file size",
Option,0,"It changes layout behavior",
Option,0,"It adds animation tags",

NewQuestion,MC,
QuestionText,"Which design feature improves readability for users with cognitive disabilities?",
Option,100,"Clear headings and chunked content",
Option,0,"Flashing text for attention",
Option,0,"Dense paragraphs of text",
Option,0,"Long scrolling pages",

NewQuestion,MC,
QuestionText,"Why is accessibility evaluation part of usability testing?",
Option,100,"Because a website is not usable if people with disabilities cannot use it",
Option,0,"Because it improves color harmony",
Option,0,"Because it shortens content",
Option,0,"Because it tests server speed",

