NewQuestion,MC,
QuestionText,"What is the **first** step when beginning a new web design project?",
Option,0,"Write the CSS stylesheet",
Option,100,"Gather and analyze project requirements",
Option,0,"Choose a color palette",
Option,0,"Publish the homepage",

NewQuestion,MC,
QuestionText,"A **content inventory** is used to:",
Option,0,"Test JavaScript interactions",
Option,100,"List and categorize all site content assets",
Option,0,"Store user passwords",
Option,0,"Optimize image compression",

NewQuestion,MC,
QuestionText,"Which document best illustrates **page-to-page hierarchy**?",
Option,0,"Storyboard",
Option,100,"Sitemap",
Option,0,"CSS layout",
Option,0,"Style sheet",

NewQuestion,MC,
QuestionText,"Why is defining a **target audience** critical?",
Option,100,"It ensures design decisions align with user goals and context",
Option,0,"It speeds up coding",
Option,0,"It satisfies SEO algorithms",
Option,0,"It reduces file size",

NewQuestion,MC,
QuestionText,"In planning the Corah website, which phase determines tone, purpose, and audience?",
Option,0,"Coding",
Option,100,"Discovery and research",
Option,0,"Launch",
Option,0,"Testing",

NewQuestion,MC,
QuestionText,"What is the purpose of a **wireframe**?",
Option,100,"To outline page structure and functional layout before styling",
Option,0,"To finalize colors and fonts",
Option,0,"To host the site online",
Option,0,"To validate HTML code",

NewQuestion,MC,
QuestionText,"Which tool is commonly used to create wireframes and prototypes?",
Option,100,"Figma",
Option,0,"Notepad",
Option,0,"GitHub",
Option,0,"Lighthouse",

NewQuestion,MC,
QuestionText,"When creating a **sitemap**, each box represents:",
Option,100,"A single page or screen within the site",
Option,0,"A color theme",
Option,0,"A navigation icon",
Option,0,"A CSS class",

NewQuestion,MC,
QuestionText,"The term **information architecture (IA)** refers to:",
Option,100,"The organization and labeling of content for easy navigation",
Option,0,"The server's physical structure",
Option,0,"A visual effects library",
Option,0,"The choice of typefaces",

NewQuestion,MC,
QuestionText,"Which of the following helps translate user needs into design specifications?",
Option,100,"User personas",
Option,0,"JavaScript variables",
Option,0,"HTML tags",
Option,0,"Server logs",

NewQuestion,MC,
QuestionText,"Which element belongs in a **project brief**?",
Option,0,"DNS configuration",
Option,100,"Goals, audience, and success metrics",
Option,0,"JavaScript libraries",
Option,0,"Compression algorithms",

NewQuestion,MC,
QuestionText,"What is the best reason to create **low-fidelity wireframes** first?",
Option,100,"They focus on layout and flow without distractions from color or detail",
Option,0,"They require high-end design software",
Option,0,"They include the final typography",
Option,0,"They can't be changed later",

NewQuestion,MC,
QuestionText,"What is one benefit of **storyboarding user journeys**?",
Option,100,"It visualizes how a user moves through tasks or goals on a site",
Option,0,"It defines SEO keywords",
Option,0,"It determines hosting requirements",
Option,0,"It creates the final color scheme",

NewQuestion,MC,
QuestionText,"Which planning deliverable directly informs the **HTML structure** of a page?",
Option,100,"Content hierarchy diagram",
Option,0,"Color palette",
Option,0,"SEO report",
Option,0,"CSS theme file",

NewQuestion,MC,
QuestionText,"Why are **accessibility requirements** included in the design phase?",
Option,100,"To ensure inclusivity is built in, not retrofitted later",
Option,0,"To make the code run faster",
Option,0,"To satisfy marketing objectives",
Option,0,"To reduce hosting costs",

NewQuestion,MC,
QuestionText,"What is the main purpose of a **design system**?",
Option,100,"To maintain consistency across typography, color, and components",
Option,0,"To host code on a CDN",
Option,0,"To manage file permissions",
Option,0,"To collect analytics data",

NewQuestion,MC,
QuestionText,"During planning, how can designers validate that their solution meets requirements?",
Option,100,"Conduct usability testing with prototypes",
Option,0,"Deploy directly to production",
Option,0,"Skip client feedback",
Option,0,"Focus only on branding",

NewQuestion,MC,
QuestionText,"Which part of the planning phase defines **navigation labels and menus**?",
Option,100,"Information architecture",
Option,0,"Visual design",
Option,0,"Development setup",
Option,0,"Database modeling",

NewQuestion,MC,
QuestionText,"What should a **responsive design plan** include?",
Option,100,"Breakpoints and layout adjustments for multiple screen sizes",
Option,0,"JavaScript animation speeds",
Option,0,"File permissions",
Option,0,"SEO tags",

NewQuestion,MC,
QuestionText,"In collaborative projects, why is version control important during design?",
Option,100,"It tracks iterations and supports collaboration across teams",
Option,0,"It compresses image files",
Option,0,"It automatically validates HTML",
Option,0,"It hosts live databases",

NewQuestion,MC,
QuestionText,"A **style tile** or mood board helps a team:",
Option,100,"Align on visual direction (colors, fonts, imagery)",
Option,0,"Define code indentation standards",
Option,0,"Configure hosting servers",
Option,0,"Set up analytics tracking",

NewQuestion,MC,
QuestionText,"When planning site content, which guideline helps maintain accessibility?",
Option,100,"Use clear headings and concise plain language",
Option,0,"Include text over busy backgrounds",
Option,0,"Use decorative fonts for all text",
Option,0,"Depend on color alone for emphasis",

NewQuestion,MC,
QuestionText,"Which statement best describes the **relationship between design and development**?",
Option,100,"Design defines structure and behavior; development implements it in code",
Option,0,"Design follows development",
Option,0,"They are separate, unrelated tasks",
Option,0,"Development determines color and layout",

NewQuestion,MC,
QuestionText,"What is the key output of the **planning and design phase** before coding begins?",
Option,100,"A detailed blueprint or mockup meeting all project requirements",
Option,0,"A live deployed website",
Option,0,"SEO analytics results",
Option,0,"HTML validation report",

NewQuestion,MC,
QuestionText,"Why is iterative design encouraged during website planning?",
Option,100,"It allows feedback and continuous improvement before costly implementation",
Option,0,"It slows down the workflow intentionally",
Option,0,"It guarantees pixel-perfect results",
Option,0,"It removes the need for testing",

