NewQuestion,MC,
QuestionText,"What does "responsive design" mean?",
Option,100,"The layout adjusts automatically to different screen sizes",
Option,0,"The website loads faster",
Option,0,"The colors change randomly",
Option,0,"The navigation disappears on small screens",

NewQuestion,MC,
QuestionText,"Which CSS feature is essential for responsive design?",
Option,0,"z-index",
Option,100,"media queries",
Option,0,"hover states",
Option,0,"CSS transitions",

NewQuestion,MC,
QuestionText,"What is the "mobile-first" design approach?",
Option,100,"Start styling for the smallest screens and scale up with media queries",
Option,0,"Begin with desktop layout and shrink it",
Option,0,"Design mobile and desktop separately",
Option,0,"Use only flexible images",

NewQuestion,MC,
QuestionText,"Which unit is best for responsive font sizing?",
Option,0,"px",
Option,100,"rem",
Option,0,"in",
Option,0,"pt",

NewQuestion,MC,
QuestionText,"Which CSS property defines flexible grid columns?",
Option,0,"float",
Option,100,"grid-template-columns",
Option,0,"column-width",
Option,0,"justify-content",

NewQuestion,MC,
QuestionText,"In Flexbox, which property aligns items along the main axis?",
Option,0,"align-items",
Option,100,"justify-content",
Option,0,"align-content",
Option,0,"order",

NewQuestion,MC,
QuestionText,"Which HTML meta tag enables responsive scaling on mobile devices?",
Option,100,"<meta name="viewport" content="width=device-width, initial-scale=1.0">",
Option,0,"<meta charset="UTF-8">",
Option,0,"<meta name="mobile" content="true">",
Option,0,"<meta responsive>",

NewQuestion,MC,
QuestionText,"What layout method uses rows and columns simultaneously?",
Option,0,"Flexbox",
Option,100,"Grid",
Option,0,"Float",
Option,0,"Table",

NewQuestion,MC,
QuestionText,"Which CSS declaration hides an element visually but keeps it accessible to screen readers?",
Option,100,"position: absolute; left: -9999px;",
Option,0,"display: none;",
Option,0,"opacity: 0;",
Option,0,"visibility: hidden;",

NewQuestion,MC,
QuestionText,"Which media query targets devices narrower than 768 px?",
Option,100,"@media (max-width: 768px)",
Option,0,"@media (min-height: 768px)",
Option,0,"@media (width: >768px)",
Option,0,"@media (less:768px)",

NewQuestion,MC,
QuestionText,"Which Flexbox property allows items to wrap to a new line?",
Option,100,"flex-wrap: wrap;",
Option,0,"align-items: wrap;",
Option,0,"wrap: yes;",
Option,0,"flex-direction: row;",

NewQuestion,MC,
QuestionText,"How do responsive images improve performance?",
Option,100,"Serve smaller image files on small screens",
Option,0,"Use fixed pixel sizes",
Option,0,"Repeat images as backgrounds",
Option,0,"Stretch all images to fit",

NewQuestion,MC,
QuestionText,"Which property centers a block element horizontally?",
Option,100,"margin: 0 auto;",
Option,0,"text-align: center;",
Option,0,"float: center;",
Option,0,"display: block auto;",

NewQuestion,MC,
QuestionText,"Why is relative sizing (%, em, rem) preferred in responsive layouts?",
Option,100,"It adapts to user preferences and device widths",
Option,0,"It locks fixed sizes",
Option,0,"It disables zooming",
Option,0,"It speeds up animation",

NewQuestion,MC,
QuestionText,"Which display property activates Flexbox?",
Option,100,"display: flex;",
Option,0,"display: grid;",
Option,0,"display: inline;",
Option,0,"display: box;",

NewQuestion,MC,
QuestionText,"How can you test responsive behavior in Chrome DevTools?",
Option,100,"Use Device Toolbar and change viewport width",
Option,0,"Press F1",
Option,0,"Refresh the page",
Option,0,"Disable cache",

NewQuestion,MC,
QuestionText,"Which CSS Grid property defines space between rows and columns?",
Option,100,"gap",
Option,0,"margin",
Option,0,"padding",
Option,0,"justify-content",

NewQuestion,MC,
QuestionText,"Which property adjusts item order in Flexbox?",
Option,100,"order",
Option,0,"flex-flow",
Option,0,"align-content",
Option,0,"z-index",

NewQuestion,MC,
QuestionText,"Why is consistent spacing (using gap, padding, and margins) important?",
Option,100,"Creates visual rhythm and supports readability",
Option,0,"Reduces load time",
Option,0,"Fills empty space automatically",
Option,0,"Changes browser behavior",

NewQuestion,MC,
QuestionText,"What does "fluid layout" mean?",
Option,100,"Uses relative units so elements scale with the viewport",
Option,0,"Uses fixed pixel dimensions",
Option,0,"Resizes text only",
Option,0,"Requires JavaScript resizing",

NewQuestion,MC,
QuestionText,"In mobile-first design, which breakpoint is usually the default style?",
Option,100,"Smallest screen (base styles)",
Option,0,"Medium screen",
Option,0,"Largest desktop",
Option,0,"Print layout",

NewQuestion,MC,
QuestionText,"Which CSS function limits an element's maximum width?",
Option,100,"max-width",
Option,0,"width",
Option,0,"min-width",
Option,0,"contain",

NewQuestion,MC,
QuestionText,"Which approach ensures accessible color contrast in responsive design?",
Option,100,"Use WCAG 2.1 contrast ratios (4.5:1 normal text)",
Option,0,"Choose any matching brand colors",
Option,0,"Use pure white text always",
Option,0,"Add shadow to all text",

NewQuestion,MC,
QuestionText,"Which design principle improves usability on mobile devices?",
Option,100,"Large tap targets and spacing between interactive elements",
Option,0,"Use hover effects only",
Option,0,"Hide navigation",
Option,0,"Disable zoom",

NewQuestion,MC,
QuestionText,"Why should developers test sites on multiple devices?",
Option,100,"To confirm responsive behavior and consistent accessibility",
Option,0,"To improve server speed",
Option,0,"To change typography",
Option,0,"To reset cookies",

